classification,lon,lat,crop
9,-3.486023623310704,6.333493104268547,cocoa
9,-6.150613223020931,5.912625950532844,cocoa
9,-6.5179776150602615,5.9700136812069475,cocoa
9,-7.263236767527613,5.199153757559359,cocoa
9,-6.645296208170221,5.454928896155275,cocoa
9,-6.928727213341485,7.326165218213215,cocoa
9,-8.307391743791335,6.626033638451298,cocoa
9,-4.421980581561701,6.406924234610674,cocoa
9,-6.931798639136876,6.879935119450888,cocoa
9,-6.899416149962462,4.835424020850873,cocoa
9,-7.023792554533961,8.015483081271528,cocoa
9,-6.782289299499392,6.571794381203721,cocoa
9,-6.010609819652783,6.6672867186173885,cocoa
9,-3.8082780996179526,6.7484493273749795,cocoa
9,-6.880383597401994,5.882369578905743,cocoa
9,-4.369688198704101,6.078508904747204,cocoa
9,-8.212402498053642,7.11850734353858,cocoa
9,-6.101315234266832,6.096459777041541,cocoa
9,-5.0345125849264765,5.975520956893544,cocoa
9,-6.761783381677943,5.128146263624242,cocoa
9,-6.648651022084655,5.292217108446647,cocoa
9,-7.768986055438199,7.017281522058281,cocoa
9,-5.275737750634789,6.286610064561046,cocoa
9,-3.662282136243245,6.1551894071696935,cocoa
9,-7.134220221044706,6.66573473650334,cocoa
9,-6.604165576023968,5.97974787811221,cocoa
9,-3.125636324994567,5.553731998075883,cocoa
9,-5.174104397112639,6.479319214036858,cocoa
9,-4.816914741653868,5.561712031892862,cocoa
9,-5.241644160704187,6.746498926684054,cocoa
9,-6.327162946291323,8.039225201068161,cocoa
9,-7.395619851857836,6.58490813210911,cocoa
9,-5.66600030842469,5.665119627511373,cocoa
9,-7.590110208452416,6.04903665164677,cocoa
9,-6.806145600098108,7.077549271795402,cocoa
9,-7.17619066412203,7.507900662516396,cocoa
9,-7.713738090001922,6.750513749844549,cocoa
9,-6.074635184966283,6.83373692598119,cocoa
9,-6.9706875408841675,7.449524665116571,cocoa
9,-7.068258482229274,8.053395750287503,cocoa
9,-6.518644568585796,5.918902217623232,cocoa
9,-7.047730499731355,6.539936296287489,cocoa
9,-6.092797852730947,6.382864027873855,cocoa
9,-6.995662831829774,5.085211173487061,cocoa
9,-4.053180912102668,6.779818807994318,cocoa
9,-5.894116478080933,5.9990421071389415,cocoa
9,-5.972272694869532,5.882531684749458,cocoa
9,-3.5425773100089595,6.793955112734904,cocoa
9,-7.605998423063475,6.840548083629156,cocoa
9,-6.783439293469008,7.577449132511415,cocoa
9,-6.850563704889742,5.630653601984718,cocoa
9,-7.14320932514601,5.203293793028343,cocoa
9,-6.074533741536938,6.587308530979599,cocoa
9,-6.614985387130688,5.82664165878932,cocoa
9,-6.7210358890564805,5.406798478280529,cocoa
9,-5.248481073587277,7.51804645372531,cocoa
9,-6.7162246007001976,6.7530196017656055,cocoa
9,-8.18084885377705,6.72414012648685,cocoa
9,-3.893591795203651,6.067566167235096,cocoa
9,-6.803479953151691,6.847936676560083,cocoa
9,-5.5705819787097015,5.8909442481290055,cocoa
9,-6.526373716819297,7.0204341864410456,cocoa
9,-4.017462693164502,6.062282426752425,cocoa
9,-5.096920312320535,5.883164912530715,cocoa
9,-7.695018916446482,6.847440096958032,cocoa
9,-6.614230299320439,7.263981871410616,cocoa
9,-4.974655812028184,6.07889739828421,cocoa
