B2,B3,B4,B8,classification,crop,date,NDVI,GNDVI,EVI
0.38720000000000004,0.3408,0.2778,0.48960000000000004,9,cocoa,2020-01-02,0.2759968725566849,0.17919075144508675,2.0978605388272644
0.32080000000000003,0.327,0.3078,0.44,9,cocoa,2020-01-02,0.17678523669430327,0.14732724902216426,0.3752270663033606
0.1394,0.1676,0.16060000000000002,0.32480000000000003,10,rubber,2020-01-02,0.33827770910589205,0.3192526401299757,0.33027596749537363
0.11180000000000001,0.11760000000000001,0.091,0.3254,10,rubber,2020-01-02,0.5629202689721422,0.4690744920993228,0.5673346887404396
0.405,0.3846,0.3472,0.4612,10,rubber,2020-01-02,0.14101929737753585,0.09056514542445022,0.5622410731899784
0.7148,0.7036,0.7036,0.7104,10,rubber,2020-01-02,0.004809052333804829,0.004809052333804829,0.029772329246935292
0.0818,0.08800000000000001,0.0702,0.17700000000000002,10,rubber,2020-01-02,0.43203883495145634,0.3358490566037736,0.27114857316949326
0.7496,0.7572,0.7684000000000001,0.812,10,rubber,2020-01-02,0.027587952417109575,0.034922253377517254,0.13618190904547706
0.1148,0.1154,0.0976,0.18180000000000002,10,rubber,2020-01-02,0.3013600572655691,0.22341857335127863,0.23223742277140336
0.2736,0.2842,0.2888,0.367,10,rubber,2020-01-02,0.11924367185117414,0.12714987714987713,0.18658140866577588
0.2134,0.19720000000000001,0.16060000000000002,0.42400000000000004,10,rubber,2020-01-02,0.45056448853917214,0.36509980682549903,0.8366154237072798
0.0804,0.1028,0.076,0.3714,11,oil_palm,2020-01-02,0.6602592758158248,0.5664276676507802,0.6031525645213982
0.0843,0.098,0.07690000000000001,0.336,11,oil_palm,2020-01-02,0.6275127149430855,0.5483870967741935,0.5559370038192507
0.1844,0.1968,0.18760000000000002,0.367,11,oil_palm,2020-01-02,0.3234763793725207,0.3018800993260021,0.4041997116077865
0.7924,0.772,0.7784000000000001,0.7772,11,oil_palm,2020-01-02,-0.0007714065312420222,0.003356571133488241,-0.005945303210464169
0.08120000000000001,0.096,0.0777,0.281,11,oil_palm,2020-01-02,0.5667688876498468,0.49071618037135284,0.44653839395536826
0.0666,0.08220000000000001,0.0656,0.3012,11,oil_palm,2020-01-02,0.6423118865866958,0.5712050078247262,0.4927633230151427
0.0966,0.1116,0.0888,0.3846,11,oil_palm,2020-01-02,0.6248415716096325,0.5501813784764209,0.6199178472629727
0.08030000000000001,0.0884,0.0729,0.231,11,oil_palm,2020-01-02,0.5202369200394867,0.4464621164683782,0.3707264456220983
0.0813,0.09720000000000001,0.0747,0.29000000000000004,11,oil_palm,2020-01-02,0.5903482314230876,0.49793388429752067,0.4769817005627189
0.0983,0.11720000000000001,0.0913,0.3572,11,oil_palm,2020-01-02,0.5928651059085842,0.505902192242833,0.5692571183900664
0.0913,0.0935,0.0765,0.2018,11,oil_palm,2020-01-02,0.45023356090549776,0.3667456823569252,0.3209364274371191
0.1042,0.12200000000000001,0.08710000000000001,0.3728,11,oil_palm,2020-01-02,0.6212220047836486,0.5068714632174617,0.6412155489720801
0.33840000000000003,0.3466,0.34440000000000004,0.4672,11,oil_palm,2020-01-02,0.15130606209955638,0.14819365937576798,0.308356769787063
0.0978,0.111,0.09340000000000001,0.233,11,oil_palm,2020-01-02,0.42769607843137253,0.3546511627906977,0.3292763468251722
0.2534,0.259,0.24400000000000002,0.3986,11,oil_palm,2020-01-02,0.24058512293806408,0.21228710462287106,0.4017253923708553
0.0407,0.0627,0.0436,0.2756,9,cocoa,2020-01-03,0.7268170426065163,0.6293230860183269,0.470798327854215
0.040100000000000004,0.0645,0.0514,0.27640000000000003,9,cocoa,2020-01-03,0.6863941427699817,0.6215899090642417,0.43806705346365027
0.0419,0.0631,0.0487,0.2952,9,cocoa,2020-01-03,0.7167781331782495,0.6477811889478091,0.4840356595844952
0.0454,0.062400000000000004,0.0413,0.3234,9,cocoa,2020-01-03,0.7735124760076776,0.67651632970451,0.5730478589420654
0.043500000000000004,0.0627,0.0482,0.26980000000000004,9,cocoa,2020-01-03,0.6968553459119498,0.6228571428571429,0.4494017440681405
0.0354,0.057300000000000004,0.034800000000000005,0.3116,9,cocoa,2020-01-03,0.7990762124711317,0.6893467064245052,0.5514383616224401
0.046700000000000005,0.0618,0.0546,0.2412,9,cocoa,2020-01-03,0.6308316430020283,0.5920792079207922,0.3828320544909934
0.0429,0.0616,0.0432,0.273,9,cocoa,2020-01-03,0.7267552182163187,0.6317991631799164,0.47461687802057084
0.0412,0.0597,0.0451,0.257,9,cocoa,2020-01-03,0.7014233697451174,0.6229870539943164,0.4347201706876744
0.0427,0.06860000000000001,0.0463,0.3064,9,cocoa,2020-01-03,0.7374539268500141,0.6341333333333333,0.5144586415601883
0.042,0.063,0.049,0.29460000000000003,9,cocoa,2020-01-03,0.7147846332945286,0.6476510067114094,0.4820979899497488
0.0413,0.061500000000000006,0.0478,0.28390000000000004,9,cocoa,2020-01-03,0.7117877600241181,0.6438911407064274,0.46809944882826443
0.0409,0.062,0.047400000000000005,0.2494,9,cocoa,2020-01-03,0.6805929919137467,0.6017983301220295,0.4115561713051627
0.0398,0.060500000000000005,0.0468,0.2818,9,cocoa,2020-01-03,0.7151552038953134,0.6465089103125913,0.46475753500514194
0.0419,0.0625,0.0412,0.3206,9,cocoa,2020-01-03,0.7722498618021005,0.6737144348734012,0.5572175022934864
0.0471,0.0664,0.0466,0.2988,9,cocoa,2020-01-03,0.7301679212507236,0.6363636363636364,0.5146308615271599
